Ticket,Category
Screwdriver with blue/black handle Screwdriver with blue/black handle,Housewares
Pomrainbow Beanie black Minnie Ears,Disney Parks Products
All Cables,Electronics
Speed Portable Rechargeable Fan,"Keys, Wallets and Other Personal Accessories"
Silver Reading Glasses |,Eyewear
Blue/Black Handle Screwdriver,Housewares
Fanny Pack |,"Luggage, Travel Equipment"
Welcome Bag,Cases and Containers
Suitcases are Damaged,"Luggage, Travel Equipment"
Brown Slippers ,Footwear
Sailor Costume (Shirt,Clothing
Challenge Coin airplanes and ENGINEERING engraved.,Money and Gift Cards
Retainers  Invisalign Retainer Case,Prescription Drugs and Medical Equipment
Invisalign retainer case and retainers  Invisalign retainer case and retainers,Prescription Drugs and Medical Equipment
Norelco Electric Razor,Toiletries and Hair Products
Challenge Coin Airplanes,Money and Gift Cards
Flexible Tripod,Electronics
License,"IDs, Drivers Licenses, Credit Cards and Passports"
Flexible Tripod,Electronics
Bear Dinosaur toys,Toys and Pets
Sweat Pants,Clothing
Adapter   |,Electronics
Headphones Airpods,Electronics
Adapter   Black Case,Electronics
Cord |,Electronics
Cell Phone Charging Block,Electronics
Booster |,Baby or Child Item
Black C Charger,Electronics
Cpap Machine Inside.   Res,Prescription Drugs and Medical Equipment
Manfrotto Brand Camera Tri,Electronics
Games. Assorted Toys,Toys and Pets
Rainbow Colored Sequin Wallet,"Keys, Wallets and Other Personal Accessories"
Drawstring Backpack,"Luggage, Travel Equipment"
Pack Of Cigarettes Lighter,"Keys, Wallets and Other Personal Accessories"
Leather Cigarette Case,"Keys, Wallets and Other Personal Accessories"
Assorted Toys,Toys and Pets
Cpap Machine Inside.  Res,Prescription Drugs and Medical Equipment
Pattern Coat |,Clothing
Jacket Black,Clothing
Haloween mask of Michael Myers brown hair and left cheek green,"Keys, Wallets and Other Personal Accessories"
Dryer  Dyson Airwrap Multistyler,Toiletries and Hair Products
Dyson Airwrap multistyler and dryer  Dyson Airwrap multistyler and dryer,Toiletries and Hair Products
Sleeved Shirt,Clothing
Magic Band,Disney Parks Products
Charging Cord |,Electronics
Purple Magic Band,Disney Parks Products
Kids Sled. White Green,Toys and Pets
Turquoise Pendant,Jewelry
Blue green and black luggage bag ,"Luggage, Travel Equipment"
SD card 128 GB usb-c cable with wall plug,Electronics
Two Bowls  |,"Bottles, Cups and Mugs"
Coffee Maker,Housewares
silver framed with gemstones around the rim apple watch screen cover,Electronics
Nintendo 2Ds Xl Inside,Electronics
Pouch,Cases and Containers
Sleep Mask Blue,"Keys, Wallets and Other Personal Accessories"
Multiple Chargers |,Electronics
Canon Camera,Electronics
Multiple Chargers Adapter,Electronics
Real Madrid Jersey Original,Clothing
Barcelona Jersey. Two Balls,Clothing
Folding Crib Board,Toys and Pets
Nine $1,Money and Gift Cards
Brushes |,Toiletries and Hair Products
Brushes Paints,Housewares
Tools,Housewares
Usb Cables,Electronics
Microphone,Electronics
It was a tube containing a poster,Cases and Containers
Adapters,Electronics